"Package","Version","LibPath","Built"
"abind","1.4-8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"askpass","1.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"backports","1.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"base","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"base64enc","0.1-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BH","1.87.0-1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Biobase","2.68.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BiocGenerics","0.54.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"BiocIO","1.18.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BiocManager","1.30.26","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BiocParallel","1.42.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"BiocVersion","3.21.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Biostrings","2.76.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"bit","4.6.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"bit64","4.6.0-1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"bitops","1.0-9","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"boot","1.3-32","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"brew","1.0-10","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"broom","1.0.10","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BSgenome","1.76.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"BSgenome.Hsapiens.UCSC.hg19","1.4.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
