chrom,start0,end0,gene_id,gene_name,strand
chr1,65418,71585,ENSG00000186092.7_10,OR4F5,+
chr1,134900,139379,ENSG00000237683.5,AL627309.1,-
chr1,367639,368634,ENSG00000235249.1,OR4F29,+
chr1,621095,622034,ENSG00000284662.2_9,OR4F16,-
chr1,859302,879955,ENSG00000187634.13_18,SAMD11,+
chr1,879582,894689,ENSG00000188976.11_9,NOC2L,-
chr1,895963,901099,ENSG00000187961.15_10,KLHL17,+
chr1,901861,911245,ENSG00000187583.11_15,PLEKHN1,+
chr1,910577,917497,ENSG00000187642.10_15,PERM1,-
chr1,934341,935552,ENSG00000188290.11_14,HES4,-
chr1,936517,949920,ENSG00000187608.10_13,ISG15,+
chr1,955499,991499,ENSG00000188157.16_10,AGRN,+
chr1,1006346,1009686,ENSG00000237330.3_9,RNF223,-
chr1,1017197,1051741,ENSG00000131591.18_16,C1orf159,-
chr1,1109259,1133316,ENSG00000162571.14_10,TTLL10,+
chr1,1138887,1141972,ENSG00000186891.14_16,TNFRSF18,-
chr1,1146705,1149533,ENSG00000186827.12_11,TNFRSF4,-
chr1,1152310,1167411,ENSG00000078808.20_15,SDF4,-
chr1,1167616,1170421,ENSG00000176022.7_11,B3GALT6,+
chr1,1177825,1182102,ENSG00000184163.3_9,C1QTNF12,-
chr1,1189288,1209244,ENSG00000160087.21_12,UBE2J2,-
chr1,1215815,1227409,ENSG00000162572.21_17,SCNN1D,+
chr1,1227769,1244989,ENSG00000131584.19_9,ACAP3,-
chr1,1243976,1247057,ENSG00000169972.13_8,PUSL1,+
chr1,1246964,1260067,ENSG00000127054.22_11,INTS11,-
chr1,1260135,1264276,ENSG00000224051.7_7,CPTP,+
chr1,1266659,1270694,ENSG00000169962.5_7,TAS1R3,+
chr1,1270655,1284798,ENSG00000107404.21_18,DVL1,-
chr1,1288068,1297157,ENSG00000162576.17_10,MXRA8,-
chr1,1309109,1310587,ENSG00000175756.14_10,AURKAIP1,-
chr1,1321090,1334715,ENSG00000221978.13_13,CCNL2,-
chr1,1337288,1342673,ENSG00000242485.6_9,MRPL20,-
chr1,1353799,1357149,ENSG00000235098.9_11,ANKRD65,-
chr1,1361250,1365635,ENSG00000205116.4_6,TMEM88B,+
chr1,1370240,1378262,ENSG00000179403.12_9,VWA1,+
chr1,1385068,1405543,ENSG00000215915.10_11,ATAD3C,+
chr1,1407144,1433228,ENSG00000160072.20_7,ATAD3B,+
chr1,1447541,1470065,ENSG00000197785.14_14,ATAD3A,+
chr1,1470157,1476004,ENSG00000205090.10_10,TMEM240,-
chr1,1477052,1510243,ENSG00000160075.12_9,SSU72,-
chr1,1533391,1535515,ENSG00000228594.4_12,FNDC10,-
chr1,1550833,1565985,ENSG00000197530.13_18,MIB2,+
chr1,1567541,1570639,ENSG00000189409.14_18,MMP23B,+
chr1,1570600,1590473,ENSG00000248333.9_13,CDK11B,-
chr1,1590989,1624234,ENSG00000189339.12_9,SLC35E2B,-
chr1,1633817,1655796,ENSG00000008128.23_15,CDK11A,-
chr1,1682670,1711896,ENSG00000008130.15_9,NADK,-
chr1,1716723,1823731,ENSG00000078369.19_13,GNB1,-
chr1,1846546,1848735,ENSG00000169885.10_11,CALML6,+
chr1,1849028,1850718,ENSG00000178821.13_14,TMEM52,-
chr1,1853389,1935276,ENSG00000142609.20_13,CFAP74,-
chr1,1950767,1962197,ENSG00000187730.9_14,GABRD,+
chr1,1981849,2116834,ENSG00000067606.17_13,PRKCZ,+
chr1,2115899,2144159,ENSG00000162585.17_11,FAAP20,-
chr1,2158826,2241652,ENSG00000157933.11_8,SKI,+
chr1,2252691,2323146,ENSG00000116151.14_19,MORN1,-
chr1,2323213,2336881,ENSG00000157916.20_9,RER1,+
chr1,2335402,2345236,ENSG00000157911.11_17,PEX10,-
chr1,2357418,2436971,ENSG00000149527.18_18,PLCH2,+
chr1,2439975,2458036,ENSG00000157881.16_19,PANK4,-
chr1,2460183,2461702,ENSG00000197921.6_9,HES5,-
chr1,2487077,2496821,ENSG00000157873.18_17,TNFRSF14,+
chr1,2517929,2522908,ENSG00000157870.17_12,PRXL2B,+
chr1,2522077,2564455,ENSG00000142606.16_16,MMEL1,-
chr1,2568424,2718258,ENSG00000215912.13_14,TTC34,-
chr1,2938030,2939467,ENSG00000169717.7_8,ACTRT2,+
chr1,2985731,3355185,ENSG00000142611.17_13,PRDM16,+
chr1,3371228,3397677,ENSG00000130762.15_10,ARHGEF16,+
chr1,3404514,3528072,ENSG00000162591.17_12,MEGF6,-
chr1,3541578,3546691,ENSG00000158109.15_7,TPRG1L,+
chr1,3547330,3569325,ENSG00000116213.16_15,WRAP73,-
chr1,3569079,3652765,ENSG00000078900.16_16,TP73,+
chr1,3663023,3688209,ENSG00000162592.10_8,CCDC27,+
chr1,3689312,3692546,ENSG00000235169.11_13,SMIM1,+
chr1,3695122,3713062,ENSG00000130764.10_10,LRRC47,-
chr1,3728649,3773960,ENSG00000116198.14_15,CEP104,-
chr1,3773830,3801993,ENSG00000169598.17_9,DFFB,+
chr1,3805688,3816857,ENSG00000198912.12_10,C1orf174,-
chr1,4714668,4852594,ENSG00000196581.11_7,AJAP1,+
chr1,5922870,6052533,ENSG00000131697.18_11,NPHP4,-
chr1,6050986,6161253,ENSG00000069424.16_18,KCNAB2,+
chr1,6161846,6240381,ENSG00000116254.18_10,CHD5,-
chr1,6219489,6257817,ENSG00000285629.1_9,ENSG00000285629,-
chr1,6245079,6269449,ENSG00000116251.11_11,RPL22,-
chr1,6265534,6281359,ENSG00000158286.13_7,RNF207,+
chr1,6281252,6296032,ENSG00000116237.16_9,ICMT,-
chr1,6304238,6305638,ENSG00000173673.9_9,HES3,+
chr1,6307412,6321158,ENSG00000158292.7_9,GPR153,-
chr1,6324328,6453827,ENSG00000097021.21_14,ACOT7,-
chr1,6472477,6484730,ENSG00000069812.11_10,HES2,-
chr1,6484835,6521427,ENSG00000187017.18_19,ESPN,+
chr1,6520845,6526235,ENSG00000215788.11_20,TNFRSF25,-
chr1,6527181,6580134,ENSG00000171680.23_17,PLEKHG5,-
chr1,6581406,6614573,ENSG00000162408.11_9,NOL9,-
chr1,6615366,6639815,ENSG00000173662.21_10,TAS1R1,+
chr1,6640053,6649340,ENSG00000204859.13_14,ZBTB48,+
chr1,6650783,6674667,ENSG00000162413.17_14,KLHL21,-
chr1,6673790,6684090,ENSG00000116273.6_7,PHF13,+
chr1,6684927,6695646,ENSG00000041988.16_19,THAP3,+
chr1,6694227,6761984,ENSG00000007923.17_14,DNAJC11,-
chr1,6845513,7829766,ENSG00000171735.21_12,CAMTA1,+
chr1,7831355,7841492,ENSG00000049245.13_8,VAMP3,+
chr1,7844350,7905237,ENSG00000049246.15_10,PER3,+
chr1,7903142,7913572,ENSG00000049247.14_11,UTS2,-
chr1,7975930,8003225,ENSG00000049249.10_10,TNFRSF9,-
chr1,8014350,8045565,ENSG00000116288.13_11,PARK7,+
chr1,8064463,8086369,ENSG00000116285.13_9,ERRFI1,-
chr1,8378173,8404227,ENSG00000162426.16_9,SLC45A1,+
chr1,8412456,8908980,ENSG00000142599.20_17,RERE,-
chr1,8921058,8939249,ENSG00000074800.16_16,ENO1,-
chr1,9005925,9035151,ENSG00000131686.15_12,CA6,+
chr1,9063031,9086482,ENSG00000197241.4_8,SLC2A7,-
chr1,9095164,9148537,ENSG00000142583.18_12,SLC2A5,-
chr1,9160363,9189161,ENSG00000180758.12_10,GPR157,-
chr1,9294832,9331396,ENSG00000049239.13_12,H6PD,+
chr1,9352952,9429591,ENSG00000171621.14_13,SPSB1,+
chr1,9599523,9645231,ENSG00000171612.7_8,SLC25A33,+
chr1,9648968,9674935,ENSG00000188807.13_10,TMEM201,+
chr1,9689946,9789172,ENSG00000171608.18_10,PIK3CD,+
chr1,9788983,9884042,ENSG00000171603.18_13,CLSTN1,-
chr1,9908333,9970394,ENSG00000178585.15_9,CTNNBIP1,-
chr1,9982170,10003465,ENSG00000162441.12_10,LZIC,-
chr1,10003485,10045559,ENSG00000173614.14_8,NMNAT1,+
chr1,10057263,10076079,ENSG00000162444.12_7,RBP7,+
chr1,10092889,10241297,ENSG00000130939.20_11,UBE4B,+
chr1,10270627,10441661,ENSG00000054523.20_18,KIF1B,+
chr1,10458648,10480568,ENSG00000142657.21_10,PGD,+
chr1,10490158,10512210,ENSG00000251503.8_18,CENPS-CORT,+
chr1,10490489,10502865,ENSG00000175279.22_10,CENPS,+
chr1,10510087,10512055,ENSG00000241563.4_7,CORT,+
chr1,10516578,10532586,ENSG00000160049.12_9,DFFA,-
chr1,10532344,10690815,ENSG00000142655.13_7,PEX14,+
chr1,10696660,10856707,ENSG00000130940.15_15,CASZ1,-
chr1,11006527,11042133,ENSG00000175262.15_15,C1orf127,-
chr1,11072400,11090585,ENSG00000120948.19_20,TARDBP,+
chr1,11082065,11107296,ENSG00000009724.18_11,MASP2,-
chr1,11114640,11120077,ENSG00000116649.10_16,SRM,-
chr1,11126674,11159926,ENSG00000171824.14_12,EXOSC10,-
chr1,11166591,11322613,ENSG00000198793.14_18,MTOR,-
chr1,11249411,11256038,ENSG00000171819.5_7,ANGPTL7,+
chr1,11333254,11356106,ENSG00000120942.14_12,UBIAD1,+
chr1,11539211,11597608,ENSG00000204624.8_8,DISP3,+
chr1,11697074,11715842,ENSG00000116661.11_13,FBXO2,-
chr1,11714431,11723384,ENSG00000132879.14_9,FBXO44,+
chr1,11717286,11751868,ENSG00000116670.17_13,MAD2L2,-
chr1,11724256,11734411,ENSG00000116663.11_7,FBXO6,+
chr1,11751766,11785914,ENSG00000162490.7_7,DRAXIN,+
chr1,11796140,11814859,ENSG00000177674.16_10,AGTRAP,+
chr1,11821843,11849642,ENSG00000215910.8_14,C1orf167,+
chr1,11845779,11866512,ENSG00000177000.13_22,MTHFR,-
chr1,11866152,11908136,ENSG00000011021.23_10,CLCN6,+
chr1,11905765,11908402,ENSG00000175206.11_12,NPPA,-
chr1,11917520,11919002,ENSG00000120937.9_9,NPPB,-
chr1,11979647,11986485,ENSG00000116685.17_10,KIAA2013,-
chr1,11994261,12035595,ENSG00000083444.17_10,PLOD1,+
